地区,日期,门店,问题描述,问题分类,系统,,是否已建bug链接,bug链接,是否已建story链接,story链接,修复时间,修复结果
,3月22日,04686店云浮郁南正方大益源,班次异常数据处理以后销售报表还是不准确,质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/MDXT-14783,,,,
,3月26日,04679店云浮郁南、08550店云浮云城同康,参林里面没有是否自动折扣和营运区，初始化数据是怎么迁移的？全部迁移过来的吗，那本身是允许自动折价的，初始化过来就默认不给自动折价了，怎么处理？需要删除找哪个对接人确认删除？,系统设计问题,收银,转需求,,,,https://dpms.dslbuy.com/browse/POS-27911,2024/4/18,已修复
,3月29日,08131云浮店,【参林POS】云浮加盟店参林流水和BI不一样,质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/POS-27288?filter=15739,,,,
,3月30日,12351门店,清斗提示数量大于装斗，但是都是500g,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-27727,,,,
,3月30日,参林多家门店,库内调整，无法找到目标批号（盘点无法正常进行）,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-27728,,,,
,3月30日,01039云浮,商品两个促销，上屏一件只显示一个,系统设计问题,收银,设计如此,,,,,,
,3月30日,12073门店,跨月款显示长短款是6800多，但是参林那里才是3500多,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-27729,,,,
,3月30日,参林多家门店,参林开票报错，原因里面细单有0元商品,质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/POS-27730,,,,
,3月30日,,这个收款有个弊端在现金这不小心扫到顾客的收款码都可以完成收款，刚好顾客熟悉的，看了她的付款凭证是没有扣到钱的,系统设计问题,收银,转需求,,,,,,
,3月30日,81642云浮门店,这个页面 用回车或者点击选中按钮，连续操作几次页面会出现卡住，回车和选中都无法点击，然后返回操作频繁的提示,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-27731,,,,
,3月30日,,收货单列表 收货提示没有会员价，需要提示具体哪个商品没有会员价,系统设计问题,参林后台,设计如此,,,,,,
,3月30日,,冷链记录导出的表格跟英克不一样，一张纸打不完,系统设计问题,参林后台,转需求,,,,,,
,3月30日,,这个商品名称输入之后能不能设置回车？现在是每次都需要用鼠标去点击查询,系统设计问题,参林后台,转需求,,,,,,
,4月1日,02173店,【参林POS】其他店退款的流水没有进缴款金额里,系统设计问题,收银,设计如此,,,,,,
,4月7日,83586等多个门店,参林pos非同一实体加盟调加盟，调拨货款未结算给调出门店,系统设计问题,参林后台,转需求,,,,,,
,4月8日,由来已久，多地区反馈,页面错误，整个弹窗无法关闭，需要整个客户端强制退出,系统设计问题,收银,转需求,,,,,,
,4月8日,03078门店,这笔流水343091767937069056参林pos小票发票保存到手机可以识别，扫一扫扫不出开票界面,质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/POS-27732,,,,
,4月9日,00642清远多个门店,处方药销售记录查询提示X,质量bug问题,参林后台,bug,是,https://dpms.dslbuy.com/browse/POS-27733,,,2024/4/18,已修复
,4月9日,06716店云浮新兴广兴,汤料类不能使用小数点，需要产品确认是否开放,系统设计问题,收银,已修复,,,,,2024/4/2,已修复
,4月9日,08417门店等,"综合库存查询这里30天、60天、90天销量这里没有数据，翻了几页和2家门店都没有数据，不是实时计算，需要优化提速
",系统设计问题,参林后台,转需求,,,,,,
,4月9日,10156店,1273294，10156店。在参林收银端无法触发,质量bug问题,收银,bug,是,https://dpms.dslbuy.com/browse/POS-27734,,,,
